roi1,roi2,roi3,roi4,roi5,roi6,roi7,roi8,roi9,roi10,roi11,roi12,roi13,roi14,roi15,roi16,roi17,roi18,roi19,roi20,roi21,roi22,roi23,roi24,roi25,roi26,roi27,roi28,roi29,roi30,roi31,roi32,roi33,roi34,roi35,roi36,roi37,roi38,roi39,roi40,roi41,roi42,roi43,roi44,roi45,roi46,roi47,roi48,roi49,roi50,roi51,roi52,roi53,roi54,roi55,roi56,roi57,roi58,roi59,roi60,roi61,roi62,roi63,roi64,roi65,roi66,roi67,roi68,roi69,roi70,roi71,roi72
-0.0957343,0.2740641,2.629753,0.57147,0.0397796,0.3515175,0.8819129,0.0976641,-0.0973991,-0.1847092,-0.0443924,0.3557709,1.59256,0.00777276,0.2703443,-0.0940314,-2.57472,0.599077,0.3514962,0.0927115,0.3573321,1.272966,-0.6225113,0.0979717,-0.6221431,-0.2797095,0.1896239,-0.0504031,-0.570705,0.2774114,0.406934,0.622466,-0.2792646,-4.54431,-0.456074,1.095647,1.279193,-0.1811477,0.541777,-0.0990409,0.436132,0.350571,-1.02614,-15.0791,-0.1893979,0.0946591,-0.557306,0.0205455,-0.0930629,-0.0590121,0.060149,0.403774,-2.50706,-0.883477,-1.59037,-0.2774536,-1.623431,-0.500101,0.181563,0.1833409,0.521335,-0.6296217,-0.499047,-0.0695626,-0.0979163,1.00271,-0.185709,-0.457767,0.1847077,-0.6234662,-0.0931361,0.6253477
0.0960775,0.091413,4.06163,0.18365,0.1832345,1.07347,0.1844775,0.0932424,-0.3517267,-0.07196,0.0977997,0.6247537,0.8833242,-0.2743411,0.3574367,-0.00445717,-3.271752,0.6224797,-0.2732455,0.187759,0.6254373,1.40597,-0.53465,0.0962506,-1.0001,-0.2713637,0.567242,0.2734105,-0.0962369,0.2772727,0.6230264,-0.557641,-0.557013,-6.41473,-0.404406,1.43799,0.6229093,-0.0330741,0.2775901,-0.2762373,0.2792157,0.6267577,-0.8817706,-12.09797,-0.6267073,-0.0941964,-0.077557,-0.2741335,0.0219934,-0.0979296,-0.0677271,0.577907,-1.627406,-0.6256441,-1.351957,-0.0959571,-2.187962,-2.181137,0.570465,-0.506192,0.509797,-0.2757799,-1.00319,-0.1844623,2.093657,1.62521,-0.0675925,-0.3551342,-0.0926573,-1.099231,-0.0942012,1.02761
0.573475,0.3577059,3.88206,-0.0954134,0.2777033,1.357705,-0.462004,0.351163,-0.2777763,0.2741574,0.2753004,0.417074,0.2792467,-0.2762195,0.6202673,0.1840561,-3.02991,0.6261149,-1.357145,0.1803962,0.8891414,0.8897617,-0.0906492,0.0972093,-0.479502,-0.074372,0.6227507,0.6226763,0.3507742,0.0997423,0.8854479,-2.03161,-0.6262799,-5.52151,-0.3597762,1.097345,0.56402,0.1841341,0.061709,-0.181612,0.3557137,1.275739,-0.1869707,-5.354159,-0.6272505,-0.423934,0.51232,-0.1831327,0.271026,-0.1815277,-0.354215,0.6240617,-0.0997744,-0.277715,-0.0926714,0.2740747,-1.50755,-2.096176,0.620345,-1.090772,0.3597377,0.8857367,-0.8895095,-0.3569576,4.353174,2.185309,0.0407034,-0.1867349,-0.2776423,-1.181453,-0.0946631,0.6263704
1.274354,1.097772,2.272902,-0.0997032,0.3566914,1.42715,-1.03472,0.6277401,-0.0436279,0.3546297,0.403521,-0.0352075,0.0962544,-0.2799767,0.6234007,0.45295,-1.629023,0.452769,-2.354005,-0.0147701,0.6271777,-0.0963172,0.3515352,0.0935262,0.270562,0.0430179,0.6229111,0.8856733,0.6256771,-0.0903796,0.8820352,-2.42304,-0.6253742,-1.629125,-0.3509757,0.3573469,1.181029,0.3517471,-0.0720179,0.0923175,0.599764,1.47515,0.425096,-0.409577,-0.467239,-0.6246743,1.00149,-0.00915679,0.41346,-0.1806273,-1.03767,0.449724,1.181337,0.0973072,1.093457,0.0965136,0.0142911,-0.3547434,0.3561171,-0.6237114,0.575959,2.41037,-0.466141,-0.57442,6.18642,2.275745,0.0719571,-0.0756266,-0.3517775,-0.629147,-0.00779963,0.3592797
1.883716,1.620129,0.023043,0.0273267,0.403274,1.181063,-0.6259737,1.183907,0.3523135,0.3547973,0.533409,-0.442743,-0.0949932,-0.0962573,0.574125,0.6276546,-0.0902095,-0.0973272,-2.52062,-0.097607,0.187109,-1.44976,0.569952,0.0907507,1.181732,-0.051376,0.35517,0.6272677,0.8856731,-0.3529023,0.6232467,-1.627359,-0.451715,3.099713,-0.0777937,-0.0197611,2.184737,0.2770092,0.0691066,0.2795461,0.881062,1.273439,1.04171,-1.183119,-0.0131607,-0.537902,0.6264671,0.2716215,0.3552705,-0.1849723,-1.47725,0.0967616,1.621,0.3555776,1.275744,-0.2797751,1.54297,1.626774,-0.1806764,0.1844145,1.01091,3.277746,0.0713297,-0.6255244,7.279745,1.887391,0.0917727,0.0646577,-0.1856702,-0.0961069,0.2735971,0.0961434
2.099257,1.887093,-1.886116,0.092672,0.359162,0.516717,0.0673619,1.185569,0.6267152,0.1817172,0.5639,-0.6234555,-0.3597792,0.0951607,0.1839313,0.6217337,1.270247,-1.090771,-1.627267,-0.0930255,-0.1897765,-2.359103,0.479797,0.0969029,1.59911,-0.1855549,0.0947701,0.3564171,0.6210707,-0.574771,0.6275632,-0.49257,-0.1837615,7.187776,0.3593134,0.0174621,3.097666,0.0970049,0.2790252,0.3503459,0.6257075,0.507241,1.05747,-6.622637,0.444317,-0.1815005,0.2713465,0.4447,0.0927592,-0.2769216,-1.622934,-0.1873725,1.090352,0.1897723,0.2717057,-1.27453,2.270912,3.277729,-0.6256713,1.622395,1.097924,3.02065,0.534055,-0.57617,7.627254,1.097751,0.1803447,0.0953272,-0.00675275,0.2740243,0.6276937,0.0549795
1.882724,1.4676,-2.88362,-0.1871446,0.3533217,-0.092959,0.8807557,0.6297607,0.6202637,-0.0909211,0.43172,-0.51353,-0.6266693,0.3566376,-0.2724991,0.189077,1.52695,-1.627031,-0.53037,0.0954154,-0.6221132,-2.279964,0.2717664,0.0902675,1.46134,-0.2723704,-0.0475139,-0.0959702,0.2717764,-0.6203735,0.6204735,0.2745197,0.0952562,7.35169,1.06443,0.3535527,3.351424,-0.270733,0.575425,0.0951573,0.3577621,-0.2770959,0.546014,-11.88955,0.881445,0.2732643,-0.1877474,0.41037,-0.1872001,-0.3591441,-1.276147,-0.577306,-0.0971925,-0.0945456,-1.186267,-1.626477,1.5479,3.187512,-1.097375,2.883039,1.01264,1.47757,0.6271762,-0.454796,7.279772,0.1807475,0.2721742,0.18419,0.0953723,0.3574717,1.07477,0.0976639
1.097623,0.6213199,-2.883299,-1.095649,0.2729337,-0.626762,1.180377,0.2763451,0.433762,-0.1863172,0.1869566,-0.3514274,-0.8874145,0.457577,-0.6271347,-0.2790003,1.881527,-2.094332,0.2744166,0.493431,-0.6262349,-1.090313,0.0627327,0.0626659,0.889601,-0.0963264,-0.0752744,-0.6232763,0.0610243,-0.6245254,0.6234762,0.0970065,0.506576,6.09622,1.186576,0.625737,2.627199,-0.6231291,0.6277097,-0.0952769,-0.0455074,-1.277759,0.0792956,-11.4605,1.04157,0.6270764,-0.457933,0.0974997,-0.3579052,-0.3579399,-0.574277,-1.07567,-1.276421,-0.411975,-2.274341,-1.887547,0.0949777,1.62571,-1.07075,3.1893,0.3577309,-0.0920735,0.6237572,-0.3590997,6.091129,-0.512193,0.351233,0.2772036,0.0774967,0.1879347,1.01347,0.2761667
0.1870744,-0.2740613,-2.4613,-2.06799,0.0962603,-1.35326,0.6267976,-0.0671675,0.0954076,-0.0960176,0.0279344,-0.2795457,-0.534097,0.2732605,-0.8813265,-1.03773,1.624145,-1.624479,0.3565714,1.04997,-0.6263467,1.01777,-0.0705791,-0.00200999,0.3527627,0.2744056,0.000477069,-1.279671,0.0921319,-0.6237362,0.6273259,-1.04757,1.090537,1.49916,0.6244373,0.477379,1.44627,-1.09361,0.576007,-0.1865053,-0.2797791,-2.097029,-0.2751777,-3.359069,0.8895297,0.8861405,-0.2766672,-0.2745741,-0.2775747,-0.1876062,-0.076317,-1.42543,-1.625733,-0.3579339,-1.627701,-1.47626,-1.095772,-0.0999662,-0.6221354,2.54766,-0.096907,-1.092991,0.544673,-0.453442,3.623462,-0.8862093,0.3512099,0.464437,-0.1851405,-0.00690406,0.457607,0.3513347
-0.3543632,-0.6255705,-2.40971,-2.279073,0.0574317,-1.620772,-0.0905511,-0.1806064,-0.0743996,0.0979306,-0.00962792,-0.532072,0.0970733,-0.0941235,-0.6234912,-1.276669,1.886331,-1.092693,-0.1874566,1.350391,-0.6254634,3.097434,-0.0972709,-0.0931636,0.1833127,0.6217917,0.0930054,-1.623493,0.3566429,-0.6270241,0.477472,-2.355343,1.47279,-2.622111,-0.0937217,-0.093763,0.1876696,-1.27579,0.357576,-0.0764622,-0.2749107,-2.56063,-0.403509,9.09907,0.6296003,0.8821106,0.0799703,-0.6243335,0.00353427,0.0915752,0.0954603,-1.889796,-1.359399,-0.0300415,-0.0914307,-0.8867997,-1.276957,-1.4164,-0.3511177,1.271334,-0.576977,-0.8871292,0.3591146,-0.572712,0.1813169,-0.6231502,0.272007,0.6207274,-0.599971,-0.0905402,-0.0623703,0.1856334
-0.6201564,-0.8877439,-3.06573,-1.621191,-0.043752,-1.620217,-0.6257914,-0.0630275,0.0160316,0.509799,0.2743343,-0.8861003,1.03344,-0.553472,-0.2773027,-1.186767,2.57241,-0.1833274,-1.189953,1.46221,-0.574772,4.47563,-0.2777771,-0.097247,0.3597557,0.6275973,0.1839052,-1.627743,0.625513,-0.471423,0.1869047,-2.627342,1.882347,-5.097347,-1.270551,-1.05041,-0.479054,-1.356224,0.2745706,0.2709057,0.0650696,-2.626992,-0.3516437,20.09112,0.6230577,0.6269007,0.3527962,-1.092974,0.3515579,0.424952,-0.0977134,-2.277007,-0.493516,0.520344,1.620597,-0.35475,-0.1876375,-1.621327,-0.2723992,-0.0979724,-0.6251973,0.0467757,0.3575411,-0.6203609,-3.886365,-0.0777471,0.180597,0.6210324,-1.04515,0.095206,-0.544717,-0.00296765
-0.433472,-0.511363,-3.887607,-0.493756,-0.0757737,-1.45939,-1.05541,0.0995071,0.2797177,0.6291711,0.504704,-1.091142,1.359672,-0.8871774,-0.0592777,-0.6297659,3.356771,0.545737,-1.623654,1.51764,-0.553704,4.621739,-0.6254966,-0.0993621,0.8899676,0.409514,0.2702779,-1.40754,0.8877007,-0.0975455,-0.0759077,-1.623062,2.01207,-4.623731,-2.097235,-1.622435,-0.8862455,-1.355716,0.2760077,0.557263,0.453279,-2.627071,-0.1831253,24.4292,0.6204973,0.519062,0.2743452,-1.093507,0.517017,0.6240096,-0.533151,-2.357206,0.2704692,1.09555,2.621097,-0.0929731,1.354607,-1.09931,-0.3517104,-1.02359,-0.593473,1.095762,0.451711,-0.447717,-7.620176,0.5442,0.0960713,0.439673,-1.09062,0.574696,-0.6290217,-0.0957071
-0.1816104,0.0404713,-4.57591,0.462737,-0.0607175,-1.357601,-0.564534,0.2771442,0.6271729,0.8813977,0.6274696,-0.8812516,1.187526,-0.887647,0.0906012,-0.466535,3.57373,1.350331,-1.353726,1.4072,-0.560655,3.56716,-1.095552,-0.0934493,1.277432,0.0979916,0.2734162,-0.8870573,0.536777,0.2739175,-0.2716216,0.455763,1.62035,-2.54642,-2.351524,-1.88614,-1.183107,-1.180677,0.3561676,0.6274726,0.6267779,-2.621007,-0.0577607,21.4175,0.6249562,0.405967,-0.0974343,-0.8831107,0.421479,0.521706,-0.6241617,-2.097957,0.6277466,1.095396,2.271453,0.0953772,2.625326,-0.3515767,-0.3573173,-1.274566,-0.2736753,1.47909,0.491419,-0.1847915,-10.0344,1.06272,0.2746062,0.1874703,-0.6267737,1.097439,-0.6249323,-0.0570673
-0.0707597,0.6216527,-4.621711,0.8890131,0.0169367,-1.45559,-0.0267545,0.3514756,1.097793,0.597647,0.6201974,-0.351762,0.3596553,-0.6224693,0.0912154,-0.419072,2.887249,1.52143,-0.1867452,1.189274,-0.563529,1.881572,-1.274572,-0.0156169,1.277171,0.0957629,0.1893309,-0.1875657,-0.092667,0.6217245,-0.2761072,2.59114,1.275624,-0.1873157,-2.01937,-1.627754,-1.50767,-0.6259574,0.420123,0.54165,0.457729,-2.276377,0.0930301,14.35259,0.466295,0.2762492,-0.6227511,-0.569141,0.1839745,0.0997292,-0.500972,-1.46046,0.6225662,0.6226207,0.54207,0.539157,2.621504,-0.1846641,-0.1872156,-0.6275771,0.0462771,1.09011,0.3597437,0.0177702,-9.621032,0.8877313,0.2759597,0.0707996,-0.3559927,1.274375,-0.6219047,0.1856237
-0.1839267,1.181472,-3.880765,0.427665,0.0917717,-1.5979,0.3525199,0.274567,1.09937,0.2770376,0.275197,0.0940571,-0.3569041,-0.3502707,0.0517542,-0.6256252,1.44797,2.090935,1.0434,0.886273,-0.567703,0.0912677,-1.093733,0.0900392,1.00042,0.431934,0.0997539,0.276731,-1.05399,1.00626,-0.1810014,3.275335,0.6200049,0.8827537,-1.181676,-1.625447,-2.180151,-0.2740097,0.3537261,0.3507472,0.0773791,-1.62523,0.1879757,7.627551,0.0990542,0.1847347,-1.099754,-0.3575197,-0.00542926,-0.2733373,-0.0274697,-0.6210714,0.2733346,0.277216,-1.184017,1.275934,1.47456,-0.530252,0.0973757,-0.2791457,0.2746627,0.0746562,0.1893542,0.0615972,-6.62604,0.3547553,0.3563695,0.0549753,-0.0627737,1.0493,-0.595299,0.464967
-0.497061,1.35362,-2.277915,-0.2744927,0.1807475,-1.52477,0.3579179,0.1876116,0.8806636,0.0616973,-0.1869697,0.427497,-1.097104,-0.0995663,0.0239124,-1.01634,0.0559773,1.625762,1.624319,0.519507,-0.595773,-1.27445,-0.453675,0.0941039,0.3574936,1.06256,0.0210733,0.6212444,-1.629661,0.6264447,0.0446375,2.06967,0.1860937,0.576721,-0.1877719,-1.53411,-2.625445,0.1847757,0.2743273,0.1862519,-0.2727262,-0.6215377,0.47317,4.275502,-0.2757477,0.0763269,-1.00772,-0.2773777,-0.0534325,-0.590534,0.434725,-0.0990074,-0.0920179,0.0796955,-2.276725,2.0266,-0.0979905,-1.091776,0.6230172,-0.0962177,0.421273,-0.6215612,0.0900925,-0.0979643,-2.099297,-0.1857762,0.3557039,0.2744599,0.0734177,0.3517136,-0.6201769,0.499534
-0.626739,1.276073,-0.2777576,-0.6226321,0.1846175,-1.06011,0.1845392,0.1850402,0.3573341,-0.0963025,-0.6237117,0.571996,-1.277954,-0.096603,0.0677077,-0.529771,-0.6277321,0.6299277,1.627773,0.0973267,-0.6232554,-2.184701,0.0953437,0.0646337,0.0742762,1.187375,-0.1814446,0.8853457,-2.07424,0.095344,0.1864363,-0.3517707,-0.0997345,-0.1800254,0.500427,-1.184663,-2.62674,0.40937,-0.0275163,0.1876206,-0.2772415,0.2779797,0.6270527,2.620359,-0.8862342,-0.0275041,-0.1890091,-0.1890556,0.0741707,-0.560676,0.6295212,0.0963279,-0.3564479,0.0916572,-2.273964,2.099021,-1.354635,-1.097931,1.06207,-0.2727512,0.436201,-1.09553,0.0501457,-0.532703,2.185137,-0.6237005,0.2737414,0.3532652,0.075454,-0.1833767,-0.6267927,0.2742547
-0.6250329,1.00493,1.6272,-0.2746444,0.0995779,0.0404731,-0.00440652,0.180734,0.091256,-0.2716002,-0.6209967,0.577762,-1.180317,-0.274262,0.0957055,-0.2767095,-1.090117,-0.0975307,1.354467,-0.2719999,-0.593133,-2.622903,0.547777,-0.0913723,-0.0795605,0.621093,-0.354472,0.6215779,-1.623552,-0.435762,0.2734477,-2.4657,-0.477497,-0.477724,1.350053,-0.1877605,-2.271552,0.429204,-0.1813477,0.279137,-0.0979747,1.53529,1.05069,-0.1801546,-1.353399,-0.0562693,0.54027,-0.0926043,0.183063,-0.1815209,0.623037,0.1876262,-0.599297,0.2757914,-1.353457,1.4676,-1.357642,-0.521477,0.8877774,-0.6239756,0.2747203,-0.629511,0.096719,-1.05311,4.626002,-1.090713,0.0975702,0.3579275,-0.000776069,-0.475433,-0.574346,-0.357179
-0.475119,0.3506262,3.627414,1.03052,0.040274,1.277577,-0.0903666,0.033631,-0.0907772,-0.3535066,-0.3573571,0.6260765,-0.6247505,-0.0997669,0.1845765,0.510633,-0.881763,-1.01079,1.0056,-0.6207905,-0.3561643,-2.886127,0.6219155,-0.2729341,-0.0923453,-0.1853461,-0.462676,0.420554,-1.09653,-0.52334,0.1819316,-2.886751,-0.6275735,0.0979072,2.05912,1.27529,-1.184554,0.2797617,-0.1897775,0.3505501,0.1814267,2.46735,0.881759,-6.270337,-1.49017,-0.037732,1.276939,0.0951314,0.0962495,0.3566956,0.490509,0.1893654,-0.8800334,0.472356,-0.1876265,0.2701725,-0.2749575,0.189103,0.401425,-1.09301,-0.0903392,-0.2762337,0.2739671,-1.186342,4.624714,-1.07257,0.0563967,0.1856166,-0.0177409,-0.3591263,-0.099623,-1.180619
-0.187472,-0.2734214,5.097341,2.53312,-0.0997323,2.351437,-0.0925102,-0.2725154,-0.0932547,-0.424775,0.0202934,0.8871617,-0.3562271,0.0200259,0.1899041,1.50277,-0.6271391,-1.096102,0.6274762,-1.181559,0.0162796,-3.02072,0.3501475,-0.403173,-0.1802799,-1.279997,-0.527537,0.1802602,-0.2706629,-0.6243113,-0.0267343,-1.181671,-1.0939,1.62251,2.351161,3.180004,-0.0930435,0.1860165,-0.2737156,0.2741707,0.097935,2.626737,0.3532571,-14.09547,-1.273919,-0.0799796,1.49779,0.35654,-0.0726256,1.07727,0.574166,0.2734727,-1.07255,0.477762,0.473692,-1.06071,1.097029,1.07046,-0.0934424,-1.095167,-0.6273021,-0.1871359,0.2776257,-1.180934,2.187651,-0.8826346,0.012117,-0.0959597,0.0562145,-0.0527344,0.2772755,-1.5756
